dataset,model_key,prompt_strategy,model_condition,topology,minority_ratio,position_config,n,entropy_baseline_mean,entropy_baseline_std,entropy_r0_mean,entropy_r0_std,entropy_r1_mean,entropy_r1_std,entropy_r2_mean,entropy_r2_std,entropy_r3_mean,entropy_r3_std,entropy_r4_mean,entropy_r4_std,entropy_shadow_mean,entropy_shadow_std,entropy_recovery
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.1,0,900,0.9566236982159914,0.7119661659506287,0.740736631761306,0.5868043654207787,0.6979569500295206,0.5938158236656964,0.6580988457182111,0.5560098484484876,0.6409382319199947,0.5732307032530238,0.6057249940417299,0.5487777931933381,0.878760459113869,0.7336185672649674,0.27303546507213916
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.1,1,900,0.9568799347986537,0.7119134342607819,0.7200864872100843,0.5909795673663932,0.6988474376604151,0.594656479274031,0.6842928224862455,0.5812038380095612,0.6873309532665198,0.5624524232025297,0.6492469001864069,0.5648848254812019,0.9138979392244511,0.7461020845038157,0.2646510390380442
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.1,2,900,0.9563100555301671,0.7119223369203299,0.6948281904765292,0.5712191074147513,0.6255431005627254,0.5527077583151195,0.5992556965482294,0.5445868970816549,0.5859486198738624,0.5384585046030268,0.5346653441738239,0.5314179552437821,0.8366331800837575,0.7226329013040134,0.3019678359099336
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.2,0,800,0.9567166361558246,0.7123320255049259,0.7546825426307937,0.5857805010018063,0.7013499539901925,0.581365766085403,0.6772380510051549,0.5676540767015563,0.6654184378224974,0.5939765947724491,0.6129930871292533,0.5541653958823227,0.8923586591983317,0.739698714925412,0.2793655720690784
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.2,1,800,0.9562535701469392,0.7118721999706935,0.7358285168854731,0.5898117271229217,0.7125874648354142,0.5919501462771342,0.696556713723581,0.58029117458499,0.6955466811388648,0.5830568529631004,0.6691088678747511,0.5832106026603219,0.9209862620600018,0.7393651809118594,0.2518773941852507
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.2,2,800,0.9567841001843506,0.7121746521398525,0.7028229155491416,0.5704695975590205,0.626991053255688,0.5564075075339421,0.6147765080566168,0.5503978438275867,0.5822843024346319,0.542818523692309,0.5287057068417157,0.5230222026329931,0.8607942546895192,0.7334763475883369,0.3320885478478035
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.3,0,700,0.9566959144685201,0.7121270251921608,0.7594738020032556,0.5878484717826876,0.7097347884691819,0.582649810766221,0.6887016578746393,0.5776602946461371,0.6836496362244842,0.6094464066272404,0.6417721060423173,0.576507601464699,0.9045040069224417,0.7405794885268653,0.26273190088012444
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.3,1,700,0.9570513972008982,0.7120893487501992,0.7411800912558925,0.5980007715033717,0.7183607684093527,0.59803532185921,0.7089756263172052,0.5825179919952777,0.7178397908850324,0.5931574464718828,0.679854758088836,0.5914338408367864,0.9069106242994193,0.7360989319217464,0.22705586621058327
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.3,2,700,0.9567176014212075,0.7120778109026292,0.7016700422280587,0.5683896044189441,0.6222334817696408,0.5543992091442629,0.6158489796764934,0.5524648041479272,0.5913948952586732,0.5491619072614905,0.5497144907123085,0.5468376955506766,0.8489314839357491,0.7270412977019987,0.29921699322344064
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,circle,0.1,0,900,0.9564444002484581,0.7120346276068198,0.6932403212796812,0.5515741912367379,0.6192362126137159,0.519465182261217,0.5484114648122873,0.5008446609348592,0.49435747791672713,0.5069890430189445,0.47007296575890595,0.5056759999144825,0.763971439748159,0.7441720802281571,0.293898473989253
